"Variable Name","Variable Type","Template Name","Instance Name"
"D1-FCT0-SYSM--:PSHDANPSH-SYSHLTS","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-NRBPS","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-CORE-DBRECC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-EPICSV","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-CORE-STTOD","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-CPUUTL","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-SHLT","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-HOSTNAME","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-SYSM-STTOD","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-SYSM-DBDLC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-DISKUTL","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-BTIME","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-NSBPS","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-MEMUTL","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-CCSV","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-SYSM-DBRECC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PSHDANPSH-CORE-DBDLC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-SYSHLTS","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-SHLT","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-CPUUTL","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-NRBPS","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-MEMUTL","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-CCSV","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-CORE-STTOD","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-SYSM-DBRECC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-DISKUTL","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-CORE-DBDLC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-TOFFSET","PONFROMCONVENTIONAL","sysmon-tcnd","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-CORE-DBRECC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-TSTATUS","PONFROMCONVENTIONAL","sysmon-tcnd","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-BTIME","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-SYSM-DBDLC","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-EPICSV","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-HOSTNAME","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-NSBPS","PONFROMCONVENTIONAL","sysmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-SYSM-STTOD","PONFROMCONVENTIONAL","iocmon","NULL"
"D1-FCT0-SYSM--:PCFDANPCF-TDEVICE","PONFROMCONVENTIONAL","sysmon-tcnd","NULL"
